"","JMBAG","Predavanja","Labos","Status","Broj.ponavljanja","Rang.matura","Srednja.škola","Spol","Dvorana","Pitanje.1","Pitanje.2","Pitanje.3","Pitanje.4","Pitanje.5","Pitanje.6","Pitanje.7","Pitanje.8","Pitanje.9","Pitanje.10","Broj.bodova"
"346","vjzfeabtil",1.08,"1.01-32","redoviti",NA,NA,"","F","D2","E","-","D","C","A","-","E","-","C","B",15.5
"347","tpswiofkqa",1.04,"1.01-31","redoviti",NA,NA,"tehni?ka","M","D2","E","D","B","C","C","A","D","A","D","B",15.5
"348","scybrdpvfo",1.07,"1.01-09","redoviti",NA,586,"gimnazija","M","D260","-","-","D","C","A","A","E","A","C","-",15.5
"349","euyxrgqtaz",1.01,"1.01-04","redoviti",NA,NA,"","M","D260","E","D","D","C","B","C","E","A","C","B",15.5
"350","dfrltjeovs",1.04,"1.01-28","redoviti",NA,NA,"tehni?ka","M","D272","E","D","D","C","A","C","B","A","C","B",15.5
"351","secgqrfoau",1.04,"1.01-31","redoviti",NA,NA,"","M","D346","E","D","D","C","B","C","E","A","C","B",15.5
"352","xcjuifbpzm",1.01,"1.01-06","redoviti",NA,NA,"gimnazija","M","D346","E","D","D","C","D","A","C","A","C","B",15.5
"353","rvkuetomiq",1.09,"1.01-18","ponavlja",1,NA,"gimnazija","F","A111","E","D","B","C","B","B","E","A","C","-",15
"354","ohesnaxjci",1.03,"1.01-06","redoviti",NA,285,"tehni?ka","M","A201","B","D","B","C","-","A","E","C","C","B",15
"355","jdhwpvtefb",1.04,"1.01-28","redoviti",NA,NA,"","M","A201","-","-","B","C","A","-","E","-","C","B",15
"356","qmbgatfiyk",1.04,"1.01-30","redoviti",NA,NA,"gimnazija","M","A301","E","D","-","C","-","A","-","-","C","B",15
"357","tycgarnezj",1.07,"1.01-11","redoviti",NA,NA,"gimnazija","M","A302","D","D","B","C","D","A","E","-","C","B",15
"358","syjqzvxopd",1.03,"1.01-22","redoviti",NA,NA,"gimnazija","M","B1","-","-","-","C","A","A","C","A","C","B",15
"359","dkyewjnzmu",1.07,"1.01-09","redoviti",NA,NA,"gimnazija","F","B2","E","C","D","C","A","-","E","-","C","B",15
"360","lgziyvmjnq",1.05,"1.01-03","redoviti",NA,NA,"gimnazija","M","B2","E","-","B","C","A","-","-","-","C","B",15
"361","hpgqzwbesr",1.06,"1.01-24","redoviti",NA,NA,"gimnazija","M","C12-02","E","-","D","E","C","A","E","A","C","B",15
"362","dcyboztkph",1.01,"1.01-06","redoviti",NA,NA,"","M","D1","-","D","-","C","-","A","E","-","C","B",15
"363","pzgycmraxu",1.04,"1.01-30","redoviti",NA,270,"gimnazija","M","D272","C","D","B","C","A","A","-","C","C","B",15
"364","ealosqnimk",1.06,"1.01-17","redoviti",NA,NA,"","M","D273","-","D","B","C","E","D","E","A","C","B",15
"365","pjdolcyhmt",1.02,"1.01-13","redoviti",NA,401,"gimnazija","F","D273","-","D","B","C","A","D","A","A","C","B",15
"366","tzwpmxkjac",1.02,"1.01-13","redoviti",NA,NA,"gimnazija","M","A111","E","-","D","C","A","E","E","-","C","B",14.5
"367","sejxlbpymf",1.04,"1.01-29","redoviti",NA,NA,"","F","A211","E","D","D","C","-","-","E","-","C","B",14.5
"368","upbsdljmkv",1.01,"1.01-05","redoviti",NA,NA,"","F","B1","E","-","B","C","A","-","B","A","E","B",14.5
"369","ikwlbhmrzu",1.01,"1.01-07","redoviti",NA,NA,"gimnazija","F","B1","E","D","D","C","A","-","-","-","C","B",14.5
"370","numbtesqvf",1.09,"-","ponavlja",1,NA,"","M","B2","E","C","B","E","E","A","E","A","D","B",14.5
"371","bfejvqrxwn",1.09,"-","ponavlja",1,NA,"gimnazija","M","B4","E","-","B","E","C","-","E","A","C","B",14.5
"372","efhqzbnscr",1.03,"1.01-20","redoviti",NA,NA,"gimnazija","F","D1","E","-","B","C","C","A","E","-","A","B",14.5
"373","fmtlohnzbg",1.02,"1.01-13","redoviti",NA,NA,"gimnazija","M","D2","-","-","D","C","A","C","E","A","C","B",14.5
"374","tngylucdkm",1.04,"1.01-30","redoviti",NA,NA,"","M","D260","-","D","D","C","A","A","E","-","C","-",14.5
"375","tdlfhpgrsx",1.06,"1.01-19","redoviti",NA,141,"gimnazija","F","D272","-","D","D","C","A","A","-","-","C","B",14.5
"376","muxivfesay",1.04,"1.01-30","redoviti",NA,NA,"","F","A111","E","C","A","C","A","A","B","-","C","B",14
"377","igsxarpywo",1.08,"1.01-25","redoviti",NA,1,"gimnazija","M","A111","A","D","B","C","D","C","E","A","C","B",14
"378","owpvkgtfxe",1.06,"1.01-17","redoviti",NA,NA,"","F","A201","-","-","B","C","B","A","-","A","C","B",14
"379","mlcgdrqehp",1.01,"1.01-07","redoviti",NA,NA,"tehni?ka","M","A202","-","D","B","C","D","A","E","-","-","B",14
"380","mltwopbzcq",1.07,"1.01-09","redoviti",NA,NA,"gimnazija","M","A202","E","-","B","C","A","-","E","-","C","C",14
"381","byqxtakhzw",1.01,"1.01-04","redoviti",NA,NA,"","F","A301","E","C","D","C","B","A","E","A","C","-",14
"382","gsoiurnzwv",1.02,"-","ponavlja",1,NA,"gimnazija","M","A302","E","C","D","C","B","-","E","A","C","B",14
"383","seoixtlwrk",1.06,"1.01-17","redoviti",NA,NA,"gimnazija","M","B1","E","D","D","E","B","A","E","-","C","B",14
"384","nudhtijpry",1.01,"1.01-07","redoviti",NA,447,"tehni?ka","M","B2","-","-","B","C","B","A","E","-","C","B",14
"385","mxibzdrlnj",1.07,"1.01-11","redoviti",NA,NA,"","M","C12-02","E","C","D","C","C","A","E","-","C","B",14
"386","khofjcbpzt",1.07,"1.01-09","redoviti",NA,NA,"tehni?ka","M","D152","E","D","B","C","B","A","C","D","C","B",14
"387","zgqpabhsuc",1.02,"1.01-14","redoviti",NA,NA,"","M","D2","B","-","B","C","A","A","-","-","C","B",14
"388","nbftiulowg",1.06,"1.01-24","redoviti",NA,NA,"","F","D2","A","D","B","C","B","A","E","D","C","B",14
"389","cqigowltax",1.04,"1.01-28","redoviti",NA,NA,"","M","D260","E","D","B","C","A","D","D","C","C","B",14
"390","fkitrghpbv",1.05,"1.01-02","redoviti",NA,NA,"gimnazija","F","D260","D","-","B","C","A","A","-","-","C","B",14
"391","yvmpwnqikg",1.05,"1.01-08","redoviti",NA,NA,"gimnazija","M","D346","E","-","B","C","A","C","-","-","C","B",14
"392","pefyitdhsq",1.03,"1.01-08","redoviti",NA,NA,"tehni?ka","M","A202","-","D","D","C","E","A","E","-","C","B",13.5
"393","gudvrfexnp",1.04,"1.01-28","redoviti",NA,NA,"","M","B1","-","D","D","C","-","D","E","A","C","B",13.5
"394","ditzwfybav",1.08,"1.01-25","redoviti",NA,NA,"","M","B1","E","D","D","C","B","A","-","-","C","B",13.5
"395","gdwpbxflta",1.06,"1.01-17","redoviti",NA,NA,"gimnazija","M","B1","D","-","A","C","A","A","B","A","C","B",13.5
"396","qdvbstfzro",1.06,"1.01-18","redoviti",NA,NA,"","F","B1","-","D","D","C","A","D","E","-","C","B",13.5
"397","cmyifkozwr",1.03,"1.01-23","redoviti",NA,NA,"","M","B2","-","D","B","C","E","-","E","A","B","B",13.5
"398","utkboinmvh",1.08,"1.01-26","redoviti",NA,338,"gimnazija","F","B4","E","D","D","C","A","E","-","-","C","B",13.5
"399","gfnrqyitse",1.01,"1.01-06","redoviti",NA,NA,"gimnazija","M","B4","E","-","D","C","C","A","B","A","C","B",13.5
"400","jbvhymfnxd",1.09,"1.01-22","redoviti",NA,576,"tehni?ka","M","D152","B","D","D","C","-","A","E","-","C","B",13.5
"401","myuhqflnji",1.09,"-","ponavlja",1,NA,"","M","D152","D","D","B","C","-","A","E","-","E","B",13.5
"402","pxonzgkbca",1.05,"1.01-01","redoviti",NA,NA,"gimnazija","F","D2","C","-","-","D","A","A","E","A","-","B",13.5
"403","iuqrywkalm",1.04,"1.01-31","redoviti",NA,NA,"gimnazija","M","D2","-","D","D","C","C","A","E","A","C","-",13.5
"404","cblhuapeqi",1.06,"1.01-24","redoviti",NA,NA,"","M","D2","E","D","B","D","D","-","E","-","C","B",13.5
"405","khlpiqwstg",1.04,"1.01-29","redoviti",NA,NA,"","M","D2","E","D","D","C","B","-","E","-","C","B",13.5
"406","plzdtsjyxc",1.09,"-","ponavlja",1,NA,"gimnazija","F","D273","E","D","D","C","-","A","E","-","C","A",13.5
